author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
Валерий Сапроненко,realtor,https://spb.cian.ru/rent/flat/318816305/,Санкт-Петербург,rent,flat,7,9,1,30.0,26000,0,Невский,Искровский проспект,28,Улица Дыбенко
ПАН,real_estate_agent,https://spb.cian.ru/rent/flat/265334782/,Санкт-Петербург,rent,flat,6,16,1,45.0,30000,0,Приморский,Новоколомяжский проспект,11,Удельная
Наталья Прусак,realtor,https://spb.cian.ru/rent/flat/291883018/,Санкт-Петербург,rent,flat,4,6,1,40.0,30000,0,Красногвардейский,Среднеохтинский проспект,10,Новочеркасская
ID 87794187,homeowner,https://spb.cian.ru/rent/flat/318752427/,Санкт-Петербург,rent,flat,12,14,1,32.0,25000,0,Выборгский, Руднева,9к1,Проспект Просвещения
Realtyarcada,real_estate_agent,https://spb.cian.ru/rent/flat/318929645/,Санкт-Петербург,rent,flat,8,14,1,42.0,30000,0,Петродворцовый, Шахматова,12к2,
Инь-Ян,real_estate_agent,https://spb.cian.ru/rent/flat/318288644/,Санкт-Петербург,rent,flat,2,14,1,34.0,28000,0,Красногвардейский, Передовиков,25,Ладожская
ID 13154296,homeowner,https://spb.cian.ru/rent/flat/318881221/,Санкт-Петербург,rent,flat,4,16,1,38.0,29000,0,Кировский,проспект Ветеранов,109К3,Проспект Ветеранов
Евгений Попов,realtor,https://spb.cian.ru/rent/flat/291915391/,Санкт-Петербург,rent,flat,5,25,1,36.0,30000,0,Приморский, Лидии Зверевой,5к1,Комендантский проспект
ЭВО,real_estate_agent,https://spb.cian.ru/rent/flat/318695983/,Санкт-Петербург,rent,flat,7,9,1,34.0,22000,0,Красносельский, Пограничника Гарькавого,42К1,Проспект Ветеранов
ID 81340693,homeowner,https://spb.cian.ru/rent/flat/318909675/,Санкт-Петербург,rent,flat,8,11,1,32.0,30000,0,Колпинский,Загородная ,45к4,Рыбацкое
Татьяна Белова,realtor,https://spb.cian.ru/rent/flat/261988696/,Санкт-Петербург,rent,flat,5,5,1,32.0,27000,0,Пушкинский,Школьная ,45,Купчино
